ko_keyword,en_keyword,type,kr_signal,role
블랑로더립타투,lip tattoo|peel off lip tint|lip stain tattoo,K-뷰티 제네릭,"38k 8/3 피크 (립틴트)",후보
문어괄사,octopus gua sha|gua sha octopus,K-뷰티 제네릭,"50k 6/22 피크, 완만하락",후보
퍼시닌바디워시,persinin body wash|persinin,K-뷰티 브랜드,"42k rising",후보
함익병기미크림,melasma cream korean|korean dark spot cream,K-뷰티 제네릭,"39k 8/24 피크",후보
냉각손선풍기,cooling handheld fan|handheld fan cooling plate|semiconductor cooling fan,제네릭 가전,"74k 8/17 피크",후보
탱글피젯토이,tangle fidget toy|tangle toy,토이 제네릭,"45k 8/31 피크",후보
하츄핑고래보석,teenieping|heartsping,K-캐릭터,"54k rising (신규)",후보
행운거북이,lucky turtle figurine|lucky turtle,토이/장식 제네릭,"60k rising",후보
박사퍼티,putty toy|thinking putty,토이 제네릭,"39k 7/27 피크",후보
삼계탕사발면,samgyetang ramen|ginseng chicken noodle soup cup|samgyetang cup noodle,K-푸드,"196k rising (신규)",후보
피자설기,pizza tteok|pizza rice cake,K-푸드,"74k rising (신규)",후보
찹쌀누룽지과자,nurungji snack|scorched rice snack|nurungji,K-푸드,"46k 완만하락",후보
트러플하몽크래커,truffle jamon cracker|truffle cracker,푸드,"46k peak",후보
버터떡,butter mochi|butter tteok|butter rice cake,K-푸드,"1.45M 4/13 피크 후 −98%",후보
촉촉한황치즈칩,korean cheese chips|cheese chips,K-푸드,"430k 4/13 피크 후 −89%",후보
두쫀쿠,dubai chewy cookie|dubai chocolate cookie,푸드(역수입 변주),"1.19M 3월 피크",후보
왁뿌볼,squishy ball|diy squishy ball,토이 제네릭,"232k 7/13 피크 −52%",후보
슬랑이,slime squishy|crunchy slime,토이 제네릭,"120k 7/6 피크",후보
젖산마그네슘,magnesium lactate|magnesium lactate supplement,영양제 제네릭,"124k rising",후보
하스카프베리,haskap berry|haskap,영양제 제네릭,"92k 완만하락",후보
자보티바,jabuticaba|jabuticaba extract,영양제 제네릭,"44k peak",후보
구강유산균m18,oral probiotics|oral probiotic m18,영양제 제네릭,"59k 완만하락",후보
아큐스터,acupressure mat|acuster,홈헬스 제네릭,"80k rising",후보
위프탈취제,wiff odor eliminator|wiff deodorizer,K-홈 브랜드,"91k rising",후보
피에브고체탈취제,solid air freshener korean|pieb air freshener,K-홈 브랜드,"34k rising (신규)",후보
ai안경,ai glasses|ai smart glasses,디지털 제네릭,"42k 7/27 피크",후보
메디큐브,medicube,K-뷰티(선례),"KR 피크 2025-08 → US 대박 2026",선례
리쥬란,rejuran,K-뷰티(선례),"KR 피크 2025-09 → US/UK 대박",선례
불닭,buldak|buldak ramen,K-푸드(선례),"KR 피크 2025-02 → 틱톡 챌린지 ×18",선례
